Reference.Part.InProceedings.proceedings <-> Reference.Partie.ExtraitActes.actes
Reference.Book.volume <-> Reference.Livre.volume
Reference.Part.Article.volume <-> Reference.Partie.Article.volume
Reference.Informal.Unpublished <-> Reference.Informel.NonPublie
Reference.Part.Chapter.chapter <-> Reference.Partie.Chapitre.chapitre
Reference.Part.Chapter <-> Reference.Partie.Chapitre
Reference.Book.Proceedings.editor <-> Reference.Livre.Actes.editeurs
Reference.Part.InBook <-> Reference.Partie.ExtraitLivre
Reference.Book.series <-> Reference.Livre.serie
Reference.date <-> Reference.date
Reference.date <-> Reference.Livre.date
Reference.date <-> Reference.Memoire.date
Reference.date <-> Reference.Raport.date
Reference.date <-> Reference.Partie.Article.date
Reference.Book.date <-> Reference.date
Reference.Book.date <-> Reference.Livre.date
Reference.Book.date <-> Reference.Memoire.date
Reference.Book.date <-> Reference.Raport.date
Reference.Academic.date <-> Reference.date
Reference.Academic.date <-> Reference.Livre.date
Reference.Academic.date <-> Reference.Memoire.date
Reference.Academic.date <-> Reference.Raport.date
Reference.Report.date <-> Reference.date
Reference.Report.date <-> Reference.Livre.date
Reference.Report.date <-> Reference.Memoire.date
Reference.Report.date <-> Reference.Raport.date
Reference.Part.Article.date <-> Reference.date
Reference.Part.Article.date <-> Reference.Partie.Article.date
Reference.title <-> Reference.titre
Reference.title <-> Reference.Livre.titre
Reference.title <-> Reference.Informel.titre
Reference.title <-> Reference.Partie.titre
Reference.title <-> Reference.Memoire.titre
Reference.title <-> Reference.Raport.titre
Reference.Book.title <-> Reference.titre
Reference.Book.title <-> Reference.Livre.titre
Reference.Book.title <-> Reference.Informel.titre
Reference.Book.title <-> Reference.Partie.titre
Reference.Book.title <-> Reference.Memoire.titre
Reference.Book.title <-> Reference.Raport.titre
Reference.Informal.title <-> Reference.titre
Reference.Informal.title <-> Reference.Informel.titre
Reference.Informal.title <-> Reference.Informel.Manuel.titre
Reference.Informal.title <-> Reference.Informel.NonPublie.titre
Reference.Part.title <-> Reference.titre
Reference.Part.title <-> Reference.Livre.titre
Reference.Part.title <-> Reference.Informel.titre
Reference.Part.title <-> Reference.Partie.titre
Reference.Part.title <-> Reference.Memoire.titre
Reference.Part.title <-> Reference.Raport.titre
Reference.Part.title <-> Reference.Informel.Manuel.titre
Reference.Part.title <-> Reference.Informel.NonPublie.titre
Reference.Academic.title <-> Reference.titre
Reference.Academic.title <-> Reference.Livre.titre
Reference.Academic.title <-> Reference.Informel.titre
Reference.Academic.title <-> Reference.Partie.titre
Reference.Academic.title <-> Reference.Memoire.titre
Reference.Academic.title <-> Reference.Raport.titre
Reference.Report.title <-> Reference.titre
Reference.Report.title <-> Reference.Livre.titre
Reference.Report.title <-> Reference.Informel.titre
Reference.Report.title <-> Reference.Partie.titre
Reference.Report.title <-> Reference.Memoire.titre
Reference.Report.title <-> Reference.Raport.titre
Reference.Informal.Manual.title <-> Reference.titre
Reference.Informal.Manual.title <-> Reference.Informel.titre
Reference.Informal.Manual.title <-> Reference.Informel.Manuel.titre
Reference.Informal.Manual.title <-> Reference.Informel.NonPublie.titre
Reference.Informal.Unpublished.title <-> Reference.titre
Reference.Informal.Unpublished.title <-> Reference.Informel.titre
Reference.Informal.Unpublished.title <-> Reference.Informel.Manuel.titre
Reference.Informal.Unpublished.title <-> Reference.Informel.NonPublie.titre
Reference.Informal.Booklet <-> Reference.Informel.Livret
Reference.Informal.LectureNotes <-> Reference.Informel.Polycopie
Reference.Academic.MastersThesis <-> Reference.Memoire.MemoireDeMastère
Reference.Part.pages <-> Reference.Partie.pages
Reference.Part.pages <-> Reference.Partie.Article.pages
Reference.Part.pages <-> Reference.Partie.ExtraitLivre.pages
Reference.Part.Article.pages <-> Reference.Partie.pages
Reference.Part.Article.pages <-> Reference.Partie.Article.pages
Reference.Part.Article.pages <-> Reference.Partie.ExtraitLivre.pages
Reference.Part.InBook.pages <-> Reference.Partie.pages
Reference.Part.InBook.pages <-> Reference.Partie.Article.pages
Reference.Part.InBook.pages <-> Reference.Partie.ExtraitLivre.pages
Reference.Report.TechReport <-> Reference.Raport.RaportTechnique
Reference.Book.edition <-> Reference.Livre.edition
Reference.Book.edition <-> Reference.Informel.Manuel.edition
Reference.Informal.Manual.edition <-> Reference.Livre.edition
Reference.Informal.Manual.edition <-> Reference.Informel.Manuel.edition
Reference.Report.institution <-> Reference.Memoire.institution
Reference.Report.institution <-> Reference.Raport.institution
Reference.Book.Proceedings.organization <-> Reference.Livre.Actes.organisation
Reference.Book.Proceedings.organization <-> Reference.Informel.Manuel.organisation
Reference.Informal.Manual.organization <-> Reference.Livre.Actes.organisation
Reference.Informal.Manual.organization <-> Reference.Informel.Manuel.organisation
Reference.Book.publisher <-> Reference.Livre.editeur
Reference.Academic.school <-> Reference.Memoire.institution
Reference.Academic.school <-> Reference.Raport.institution
Reference.Misc <-> Reference.Divers
Reference.Part.InCollection.collection <-> Reference.Partie.ExtraitCompilation.collection
Reference.Book.Collection <-> Reference.Livre.Compilation
Reference.Academic <-> Reference.Memoire
Reference.MotionPicture <-> Reference.Film
Reference.Part.Article <-> Reference.Partie.Article
Reference.Informal <-> Reference.Informel
Reference.Book.Proceedings.event <-> Reference.Livre.Actes.evènement
Reference.Book <-> Reference.Livre
Reference.Part.InBook.book <-> Reference.Partie.ExtraitLivre.livre
Reference.Academic.PhdThesis <-> Reference.Memoire.MemoireDeDoctorat
Reference.Book.Proceedings <-> Reference.Livre.Actes
Reference.Report.number <-> Reference.Raport.numero
Reference.Report.number <-> Reference.Partie.Article.numero
Reference.Part.Article.number <-> Reference.Raport.numero
Reference.Part.Article.number <-> Reference.Partie.Article.numero
Reference <-> Reference
Reference.Part.InCollection <-> Reference.Partie.ExtraitCompilation
Reference.author <-> Reference.Livre.auteurs
Reference.author <-> Reference.Memoire.auteurs
Reference.author <-> Reference.Raport.auteurs
Reference.author <-> Reference.Informel.NonPublie.auteurs
Reference.author <-> Reference.Partie.Article.auteurs
Reference.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Academic.author <-> Reference.Livre.auteurs
Reference.Academic.author <-> Reference.Memoire.auteurs
Reference.Academic.author <-> Reference.Raport.auteurs
Reference.Academic.author <-> Reference.Partie.Article.auteurs
Reference.Academic.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Academic.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Academic.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Report.author <-> Reference.Livre.auteurs
Reference.Report.author <-> Reference.Memoire.auteurs
Reference.Report.author <-> Reference.Raport.auteurs
Reference.Report.author <-> Reference.Partie.Article.auteurs
Reference.Report.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Report.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Report.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Informal.Unpublished.author <-> Reference.Informel.NonPublie.auteurs
Reference.Informal.Unpublished.author <-> Reference.Partie.Article.auteurs
Reference.Informal.Unpublished.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Informal.Unpublished.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Informal.Unpublished.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Part.Article.author <-> Reference.Livre.auteurs
Reference.Part.Article.author <-> Reference.Memoire.auteurs
Reference.Part.Article.author <-> Reference.Raport.auteurs
Reference.Part.Article.author <-> Reference.Informel.NonPublie.auteurs
Reference.Part.Article.author <-> Reference.Partie.Article.auteurs
Reference.Part.Article.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Part.Article.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Part.Article.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Part.InBook.author <-> Reference.Livre.auteurs
Reference.Part.InBook.author <-> Reference.Memoire.auteurs
Reference.Part.InBook.author <-> Reference.Raport.auteurs
Reference.Part.InBook.author <-> Reference.Informel.NonPublie.auteurs
Reference.Part.InBook.author <-> Reference.Partie.Article.auteurs
Reference.Part.InBook.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Part.InBook.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Part.InBook.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Part.InCollection.author <-> Reference.Livre.auteurs
Reference.Part.InCollection.author <-> Reference.Memoire.auteurs
Reference.Part.InCollection.author <-> Reference.Raport.auteurs
Reference.Part.InCollection.author <-> Reference.Informel.NonPublie.auteurs
Reference.Part.InCollection.author <-> Reference.Partie.Article.auteurs
Reference.Part.InCollection.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Part.InCollection.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Part.InCollection.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Part.InProceedings.author <-> Reference.Livre.auteurs
Reference.Part.InProceedings.author <-> Reference.Memoire.auteurs
Reference.Part.InProceedings.author <-> Reference.Raport.auteurs
Reference.Part.InProceedings.author <-> Reference.Informel.NonPublie.auteurs
Reference.Part.InProceedings.author <-> Reference.Partie.Article.auteurs
Reference.Part.InProceedings.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Part.InProceedings.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Part.InProceedings.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Report <-> Reference.Raport
Reference.Informal.Unpublished.note <-> Reference.Informel.NonPublie.note
Reference.Book.humanCreator <-> Reference.createur
Reference.Part <-> Reference.Partie
Reference.Report.Deliverable.contract <-> Reference.Raport.Livrable.contrat
Reference.Informal.Manual <-> Reference.Informel.Manuel
Reference.Part.InProceedings <-> Reference.Partie.ExtraitActes
Reference.Part.Article.journal <-> Reference.Partie.Article.journal
Reference.Book.Monograph <-> Reference.Livre.Monographie
Reference.Report.Deliverable <-> Reference.Raport.Livrable
