Reference.Part.InProceedings.proceedings <-> Reference.Part.InProceedings.proceedings
Reference.Book.volume <-> Reference.Book.volume
Reference.Part.Article.volume <-> Reference.Part.Article.volume
Reference.Informal.Unpublished <-> Reference.Informal.Unpublished
Reference.Part.Chapter.chapter <-> Reference.Part.Chapter.chapter
Reference.Part.Chapter <-> Reference.Part.Chapter
Reference.Book.Proceedings.editor <-> Reference.Book.Proceedings.editor
Reference.Part.InBook <-> Reference.Part.InBook
Reference.Book.series <-> Reference.Book.series
Reference.Book.series <-> Reference.Part.Article.series
Reference.title <-> Reference.title
Reference.title <-> Reference.Book.title
Reference.title <-> Reference.Informal.title
Reference.title <-> Reference.Part.title
Reference.title <-> Reference.Academic.title
Reference.title <-> Reference.Report.title
Reference.title <-> Reference.Informal.Manual.title
Reference.title <-> Reference.Informal.Unpublished.title
Reference.Book.title <-> Reference.title
Reference.Book.title <-> Reference.Book.title
Reference.Book.title <-> Reference.Part.title
Reference.Book.title <-> Reference.Academic.title
Reference.Book.title <-> Reference.Report.title
Reference.Informal.title <-> Reference.title
Reference.Informal.title <-> Reference.Informal.title
Reference.Informal.title <-> Reference.Informal.Manual.title
Reference.Informal.title <-> Reference.Informal.Unpublished.title
Reference.Part.title <-> Reference.title
Reference.Part.title <-> Reference.Book.title
Reference.Part.title <-> Reference.Part.title
Reference.Part.title <-> Reference.Academic.title
Reference.Part.title <-> Reference.Report.title
Reference.Academic.title <-> Reference.title
Reference.Academic.title <-> Reference.Book.title
Reference.Academic.title <-> Reference.Part.title
Reference.Academic.title <-> Reference.Academic.title
Reference.Academic.title <-> Reference.Report.title
Reference.Report.title <-> Reference.title
Reference.Report.title <-> Reference.Book.title
Reference.Report.title <-> Reference.Part.title
Reference.Report.title <-> Reference.Academic.title
Reference.Report.title <-> Reference.Report.title
Reference.Informal.Manual.title <-> Reference.title
Reference.Informal.Manual.title <-> Reference.Informal.title
Reference.Informal.Manual.title <-> Reference.Informal.Manual.title
Reference.Informal.Manual.title <-> Reference.Informal.Unpublished.title
Reference.Informal.Unpublished.title <-> Reference.title
Reference.Informal.Unpublished.title <-> Reference.Informal.title
Reference.Informal.Unpublished.title <-> Reference.Informal.Manual.title
Reference.Informal.Unpublished.title <-> Reference.Informal.Unpublished.title
Reference.Informal.Booklet <-> Reference.Informal.Booklet
Reference.Informal.LectureNotes <-> Reference.Informal.LectureNotes
Reference.Academic.MastersThesis <-> Reference.Academic.MastersThesis
Reference.Report.TechReport <-> Reference.Report.TechReport
Reference.Book.edition <-> Reference.Book.edition
Reference.Informal.Manual.edition <-> Reference.Informal.Manual.edition
Reference.Part.isPartOf <-> Reference.Part.isPartOf
Reference.Misc <-> Reference.Misc
Reference.Part.InCollection.collection <-> Reference.Part.InCollection.collection
Reference.Book.Collection <-> Reference.Book.Collection
Reference.Academic <-> Reference.Academic
Reference.MotionPicture <-> Reference.MotionPicture
Reference.Part.Article <-> Reference.Part.Article
Reference.Informal <-> Reference.Informal
Reference.Book <-> Reference.Book
Reference.Part.InBook.book <-> Reference.Part.InBook.book
Reference.Academic.PhdThesis <-> Reference.Academic.PhdThesis
Reference.Book.Proceedings <-> Reference.Book.Proceedings
Reference.Report.number <-> Reference.Report.number
Reference.Report.number <-> Reference.Part.Article.number
Reference.Part.Article.number <-> Reference.Report.number
Reference.Part.Article.number <-> Reference.Part.Article.number
Reference <-> Reference
Reference.Part.InCollection <-> Reference.Part.InCollection
Reference.author <-> Reference.author
Reference.author <-> Reference.Academic.author
Reference.author <-> Reference.Report.author
Reference.author <-> Reference.Informal.Unpublished.author
Reference.author <-> Reference.Part.Article.author
Reference.author <-> Reference.Part.InBook.author
Reference.author <-> Reference.Part.InCollection.author
Reference.author <-> Reference.Part.InProceedings.author
Reference.Academic.author <-> Reference.author
Reference.Academic.author <-> Reference.Academic.author
Reference.Academic.author <-> Reference.Report.author
Reference.Academic.author <-> Reference.Part.Article.author
Reference.Academic.author <-> Reference.Part.InBook.author
Reference.Academic.author <-> Reference.Part.InCollection.author
Reference.Academic.author <-> Reference.Part.InProceedings.author
Reference.Report.author <-> Reference.author
Reference.Report.author <-> Reference.Academic.author
Reference.Report.author <-> Reference.Report.author
Reference.Report.author <-> Reference.Part.Article.author
Reference.Report.author <-> Reference.Part.InBook.author
Reference.Report.author <-> Reference.Part.InCollection.author
Reference.Report.author <-> Reference.Part.InProceedings.author
Reference.Informal.Unpublished.author <-> Reference.author
Reference.Informal.Unpublished.author <-> Reference.Informal.Unpublished.author
Reference.Informal.Unpublished.author <-> Reference.Part.Article.author
Reference.Informal.Unpublished.author <-> Reference.Part.InBook.author
Reference.Informal.Unpublished.author <-> Reference.Part.InCollection.author
Reference.Informal.Unpublished.author <-> Reference.Part.InProceedings.author
Reference.Part.Article.author <-> Reference.author
Reference.Part.Article.author <-> Reference.Academic.author
Reference.Part.Article.author <-> Reference.Report.author
Reference.Part.Article.author <-> Reference.Part.Article.author
Reference.Part.Article.author <-> Reference.Part.InBook.author
Reference.Part.Article.author <-> Reference.Part.InCollection.author
