Reference.Part.InProceedings.proceedings <-> REFERENCE.Part.In_proceedings.proceedings
Reference.Book.volume <-> REFERENCE.Book.volume
Reference.Book.volume <-> REFERENCE.Part.Article.volume
Reference.Part.Article.volume <-> REFERENCE.Book.volume
Reference.Part.Article.volume <-> REFERENCE.Part.Article.volume
Reference.Informal.Unpublished <-> REFERENCE.Informal.Un_published
Reference.Part.Chapter.chapter <-> REFERENCE.Part.Chapter.chapter
Reference.Part.Chapter <-> REFERENCE.Part.Chapter
Reference.Book.Proceedings.editor <-> REFERENCE.Book.Proc_.editors
Reference.Part.InBook <-> REFERENCE.Part.In_book
Reference.Book.series <-> REFERENCE.Book.series
Reference.date <-> REFERENCE.date
Reference.date <-> REFERENCE.Book.date
Reference.date <-> REFERENCE.Academic.date
Reference.date <-> REFERENCE.Report.date
Reference.date <-> REFERENCE.Part.Article.date
Reference.Book.date <-> REFERENCE.date
Reference.Book.date <-> REFERENCE.Book.date
Reference.Book.date <-> REFERENCE.Academic.date
Reference.Book.date <-> REFERENCE.Report.date
Reference.Academic.date <-> REFERENCE.date
Reference.Academic.date <-> REFERENCE.Book.date
Reference.Academic.date <-> REFERENCE.Academic.date
Reference.Academic.date <-> REFERENCE.Report.date
Reference.Academic.date <-> REFERENCE.Part.Article.date
Reference.Report.date <-> REFERENCE.date
Reference.Report.date <-> REFERENCE.Book.date
Reference.Report.date <-> REFERENCE.Academic.date
Reference.Report.date <-> REFERENCE.Report.date
Reference.Part.Article.date <-> REFERENCE.date
Reference.Part.Article.date <-> REFERENCE.Academic.date
Reference.Part.Article.date <-> REFERENCE.Part.Article.date
Reference.title <-> REFERENCE.title
Reference.title <-> REFERENCE.Book.title
Reference.title <-> REFERENCE.Informal.title
Reference.title <-> REFERENCE.Part.title
Reference.title <-> REFERENCE.Academic.title
Reference.title <-> REFERENCE.Report.title
Reference.title <-> REFERENCE.Informal.Manual.title
Reference.title <-> REFERENCE.Informal.Un_published.title
Reference.Book.title <-> REFERENCE.title
Reference.Book.title <-> REFERENCE.Book.title
Reference.Book.title <-> REFERENCE.Part.title
Reference.Book.title <-> REFERENCE.Academic.title
Reference.Book.title <-> REFERENCE.Report.title
Reference.Informal.title <-> REFERENCE.title
Reference.Informal.title <-> REFERENCE.Informal.title
Reference.Informal.title <-> REFERENCE.Informal.Manual.title
Reference.Informal.title <-> REFERENCE.Informal.Un_published.title
Reference.Part.title <-> REFERENCE.title
Reference.Part.title <-> REFERENCE.Book.title
Reference.Part.title <-> REFERENCE.Part.title
Reference.Part.title <-> REFERENCE.Academic.title
Reference.Part.title <-> REFERENCE.Report.title
Reference.Academic.title <-> REFERENCE.title
Reference.Academic.title <-> REFERENCE.Book.title
Reference.Academic.title <-> REFERENCE.Part.title
Reference.Academic.title <-> REFERENCE.Academic.title
Reference.Academic.title <-> REFERENCE.Report.title
Reference.Report.title <-> REFERENCE.title
Reference.Report.title <-> REFERENCE.Book.title
Reference.Report.title <-> REFERENCE.Part.title
Reference.Report.title <-> REFERENCE.Academic.title
Reference.Report.title <-> REFERENCE.Report.title
Reference.Informal.Manual.title <-> REFERENCE.title
Reference.Informal.Manual.title <-> REFERENCE.Informal.title
Reference.Informal.Manual.title <-> REFERENCE.Informal.Manual.title
Reference.Informal.Manual.title <-> REFERENCE.Informal.Un_published.title
Reference.Informal.Unpublished.title <-> REFERENCE.title
Reference.Informal.Unpublished.title <-> REFERENCE.Informal.title
Reference.Informal.Unpublished.title <-> REFERENCE.Informal.Manual.title
Reference.Informal.Unpublished.title <-> REFERENCE.Informal.Un_published.title
Reference.Informal.Booklet <-> REFERENCE.Informal.Booklet
Reference.Informal.LectureNotes <-> REFERENCE.Informal.Lecture_notes
Reference.Academic.MastersThesis <-> REFERENCE.Academic.MSc_thesis
Reference.Part.pages <-> REFERENCE.Part.pages
Reference.Part.pages <-> REFERENCE.Part.Article.pages
Reference.Part.pages <-> REFERENCE.Part.In_book.pages
Reference.Part.Article.pages <-> REFERENCE.Part.pages
Reference.Part.Article.pages <-> REFERENCE.Part.Article.pages
Reference.Part.Article.pages <-> REFERENCE.Part.In_book.pages
Reference.Part.InBook.pages <-> REFERENCE.Part.pages
Reference.Part.InBook.pages <-> REFERENCE.Part.Article.pages
Reference.Part.InBook.pages <-> REFERENCE.Part.In_book.pages
Reference.Report.TechReport <-> REFERENCE.Report.Technical_report
Reference.Book.edition <-> REFERENCE.Book.edition
Reference.Informal.Manual.edition <-> REFERENCE.Informal.Manual.edition
Reference.Report.institution <-> REFERENCE.Report.institution
Reference.Part.isPartOf <-> REFERENCE.Part.is_part_of
Reference.Book.Proceedings.organization <-> REFERENCE.Book.Proc_.organisation
Reference.Book.Proceedings.organization <-> REFERENCE.Informal.Manual.organisation
Reference.Informal.Manual.organization <-> REFERENCE.Book.Proc_.organisation
Reference.Informal.Manual.organization <-> REFERENCE.Informal.Manual.organisation
Reference.Book.publisher <-> REFERENCE.Book.publisher
Reference.Academic.school <-> REFERENCE.Academic.school
Reference.Misc <-> REFERENCE.Misc_
Reference.Part.InCollection.collection <-> REFERENCE.Part.In_collection.collection
Reference.Book.Collection <-> REFERENCE.Book.Collection
Reference.Academic <-> REFERENCE.Academic
Reference.MotionPicture <-> REFERENCE.Motion_picture
Reference.Part.Article <-> REFERENCE.Part.Article
Reference.Informal <-> REFERENCE.Informal
Reference.Book.Proceedings.event <-> REFERENCE.Book.Proc_.event
Reference.Book <-> REFERENCE.Book
Reference.Part.InBook.book <-> REFERENCE.Part.In_book.book
Reference.Academic.PhdThesis <-> REFERENCE.Academic.PhD_thesis
Reference.Book.Proceedings <-> REFERENCE.Book.Proc_
Reference.Report.number <-> REFERENCE.Report.number
Reference.Report.number <-> REFERENCE.Part.Article.number
Reference.Part.Article.number <-> REFERENCE.Report.number
Reference.Part.Article.number <-> REFERENCE.Part.Article.number
Reference <-> REFERENCE
Reference.Part.InCollection <-> REFERENCE.Part.In_collection
Reference.author <-> REFERENCE.authors
Reference.author <-> REFERENCE.Academic.authors
Reference.author <-> REFERENCE.Report.authors
Reference.author <-> REFERENCE.Informal.Un_published.authors
Reference.author <-> REFERENCE.Part.Article.authors
Reference.author <-> REFERENCE.Part.In_book.authors
Reference.author <-> REFERENCE.Part.In_collection.authors
Reference.author <-> REFERENCE.Part.In_proceedings.authors
Reference.Academic.author <-> REFERENCE.authors
Reference.Academic.author <-> REFERENCE.Academic.authors
Reference.Academic.author <-> REFERENCE.Report.authors
Reference.Academic.author <-> REFERENCE.Part.Article.authors
Reference.Academic.author <-> REFERENCE.Part.In_book.authors
Reference.Academic.author <-> REFERENCE.Part.In_collection.authors
Reference.Academic.author <-> REFERENCE.Part.In_proceedings.authors
Reference.Report.author <-> REFERENCE.authors
Reference.Report.author <-> REFERENCE.Academic.authors
Reference.Report.author <-> REFERENCE.Report.authors
Reference.Report.author <-> REFERENCE.Part.Article.authors
Reference.Report.author <-> REFERENCE.Part.In_book.authors
Reference.Report.author <-> REFERENCE.Part.In_collection.authors
Reference.Report.author <-> REFERENCE.Part.In_proceedings.authors
Reference.Informal.Unpublished.author <-> REFERENCE.authors
Reference.Informal.Unpublished.author <-> REFERENCE.Informal.Un_published.authors
Reference.Part.Article.author <-> REFERENCE.authors
Reference.Part.Article.author <-> REFERENCE.Academic.authors
Reference.Part.Article.author <-> REFERENCE.Report.authors
Reference.Part.Article.author <-> REFERENCE.Part.Article.authors
Reference.Part.Article.author <-> REFERENCE.Part.In_book.authors
Reference.Part.Article.author <-> REFERENCE.Part.In_collection.authors
Reference.Part.Article.author <-> REFERENCE.Part.In_proceedings.authors
Reference.Part.InBook.author <-> REFERENCE.authors
Reference.Part.InBook.author <-> REFERENCE.Academic.authors
Reference.Part.InBook.author <-> REFERENCE.Report.authors
Reference.Part.InBook.author <-> REFERENCE.Part.Article.authors
Reference.Part.InBook.author <-> REFERENCE.Part.In_book.authors
Reference.Part.InBook.author <-> REFERENCE.Part.In_collection.authors
Reference.Part.InBook.author <-> REFERENCE.Part.In_proceedings.authors
Reference.Part.InCollection.author <-> REFERENCE.authors
Reference.Part.InCollection.author <-> REFERENCE.Academic.authors
Reference.Part.InCollection.author <-> REFERENCE.Report.authors
Reference.Part.InCollection.author <-> REFERENCE.Part.Article.authors
Reference.Part.InCollection.author <-> REFERENCE.Part.In_book.authors
Reference.Part.InCollection.author <-> REFERENCE.Part.In_collection.authors
Reference.Part.InCollection.author <-> REFERENCE.Part.In_proceedings.authors
Reference.Part.InProceedings.author <-> REFERENCE.authors
Reference.Part.InProceedings.author <-> REFERENCE.Academic.authors
Reference.Part.InProceedings.author <-> REFERENCE.Report.authors
Reference.Part.InProceedings.author <-> REFERENCE.Part.Article.authors
Reference.Part.InProceedings.author <-> REFERENCE.Part.In_book.authors
Reference.Part.InProceedings.author <-> REFERENCE.Part.In_collection.authors
Reference.Part.InProceedings.author <-> REFERENCE.Part.In_proceedings.authors
Reference.Report <-> REFERENCE.Report
Reference.Informal.Unpublished.note <-> REFERENCE.Informal.Un_published.note
Reference.Book.humanCreator <-> REFERENCE.Book.human_creator
Reference.Part <-> REFERENCE.Part
Reference.Report.Deliverable.contract <-> REFERENCE.Report.Deliverable.contract
Reference.Informal.Manual <-> REFERENCE.Informal.Manual
Reference.Part.InProceedings <-> REFERENCE.Part.In_proceedings
Reference.Part.Article.journal <-> REFERENCE.Part.Article.journal
Reference.Book.Monograph <-> REFERENCE.Book.Monograph
Reference.Report.Deliverable <-> REFERENCE.Report.Deliverable
